player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,positions
14.9,0.505,0.192,0.336,2.2,7.7,4.8,23.5,1.0,0.2,12.3,27.9,1.2,0.1,1.4,0.043,0.6,-2.7,-2.1,0.0,1
14.0,0.551,0.429,0.415,3.2,12.7,8.1,12.3,2.4,0.9,13.4,20.4,2.0,2.5,4.5,0.124,-0.7,1.2,0.5,1.1,1
16.8,0.546,0.397,0.308,4.5,16.7,10.5,8.6,1.4,0.9,10.1,26.8,2.2,1.3,3.5,0.077,0.8,-1.6,-0.8,0.6,3
16.2,0.512,0.245,0.43700000000000006,1.2,9.7,5.3,34.6,1.9,0.6,14.7,25.5,1.5,1.2,2.7,0.057,0.7,-1.5,-0.8,0.7,0
14.6,0.5379999999999999,0.0,0.305,9.1,24.8,17.0,3.9,0.7,0.9,9.5,17.1,2.8,3.2,6.0,0.132,-0.8,-0.8,-1.7,0.2,3
6.5,0.465,0.023,0.315,5.6,10.5,7.9,7.2,0.8,0.6,15.9,12.3,-0.4,0.3,-0.1,-0.003,-4.2,-1.1,-5.3,-0.9,2
13.8,0.507,0.131,0.159,8.6,17.7,13.1,13.2,0.9,3.2,15.5,19.6,0.5,1.6,2.1,0.054000000000000006,-1.2,0.1,-1.2,0.4,4
11.7,0.5,0.0,0.201,9.4,21.1,15.0,11.4,2.1,1.8,17.1,10.8,1.2,2.4,3.6,0.098,-2.2,2.0,-0.2,0.8,4
9.7,0.521,0.546,0.055,1.0,11.5,6.0,6.7,1.5,0.6,7.7,16.2,0.3,0.5,0.8,0.038,-2.2,-0.7,-2.9,-0.2,2
16.2,0.591,0.0,0.47200000000000003,14.1,22.2,18.1,1.7,0.6,4.8,14.2,13.2,2.6,1.9,4.5,0.133,-0.2,-0.2,-0.4,0.7,4
11.5,0.53,0.33799999999999997,0.18600000000000003,0.8,10.0,5.4,14.8,1.1,0.8,13.8,21.2,-0.1,0.6,0.6,0.034,-1.5,-0.9,-2.4,-0.1,1
9.7,0.45299999999999996,0.183,0.452,5.2,13.3,9.3,6.0,1.5,2.1,10.1,18.2,-0.1,0.5,0.4,0.055999999999999994,-3.1,0.5,-2.5,0.0,1
