player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
13.2,0.627,0,0.684,10,19.9,14.8,8.2,0,0,22.1,18.2,0.1,0,0.1,0.064,-2.3,-1.9,-4.2,0
15.4,0.52,0.458,0.393,0,8.6,4.2,22.2,1.6,0.8,8.4,25.9,0.4,0.2,0.6,0.077,1.3,-0.8,0.5,0.2
9.3,0.539,0.538,0.113,2.7,9.1,5.9,8.7,0.8,1.2,9.5,13.4,1.2,1.3,2.5,0.08,-1.7,-0.1,-1.8,0.1
12.8,0.593,0.413,0.099,1.6,10.2,6.2,16.6,0.8,0.1,10.8,17.5,1.1,0.4,1.6,0.101,-0.1,-1.5,-1.6,0.1
-5.1,0.202,0.571,0.143,0,5.5,2.9,3.2,1.3,0,6.3,18.1,-0.2,0,-0.2,-0.239,-10.4,-4,-14.4,-0.1
19.7,0.566,0,0.704,17.6,21.9,19.6,10.5,0.6,0,7.8,19.8,0.3,0,0.3,0.182,0.9,-1.4,-0.6,0
9.7,0.5,0,0,3.4,27.9,15.6,8.3,3.2,5.2,20,7,0,0.1,0.1,0.127,-6,5.3,-0.7,0
22.6,0.583,0.34,0.456,6.8,30.9,19.2,23,2.2,3.5,18.9,31.9,1.5,3.2,4.7,0.13,2.5,2.2,4.7,2.9
12.9,0.563,0.658,0.163,2.4,15.5,9.2,8.7,2.6,2.4,12.3,17.2,1.6,4.5,6.1,0.116,-0.2,1.7,1.5,2.3
12.3,0.558,0.643,0.163,1.3,14.4,7.8,8.4,1,1.2,8.1,19,1.8,1.4,3.2,0.07,0,-0.7,-0.7,0.7
9.8,0.535,0.423,0.255,7.2,15.5,11.4,5.4,0.9,2,11.6,11.9,0.5,0.4,0.9,0.069,-2.2,-0.7,-2.9,-0.1
13,0.519,0.423,0.152,1.4,5.5,3.5,16.9,1.2,0.5,10.7,23.7,0.9,0.3,1.3,0.037,0.1,-2.5,-2.3,-0.1
19.1,0.601,0.519,0.037,4.2,4,4.1,37.7,0.9,1.5,15.4,26.5,0.1,0,0.2,0.15,4.9,-0.7,4.2,0.1
10.2,0.545,0.503,0.245,3.5,10.8,7.2,6,1.5,0.8,9.2,15.1,1.1,0.6,1.7,0.059,-1.9,-1,-3,-0.3
10.8,0.499,0.515,0.19,2.8,12.7,7.8,8.6,1.6,1,9.1,21.3,-0.1,1,0.9,0.06,-1.9,0.2,-1.7,0.1
8.4,0.525,0.48,0.16,5,13.4,9.4,3,1.2,1.1,6.2,10,0.7,0.9,1.6,0.067,-1.9,-0.1,-2,0
13.8,0.561,0.432,0.115,6.6,18.5,12.5,7.6,1.3,2.3,10.4,15.8,0.4,0.4,0.9,0.092,-0.6,-0.4,-0.9,0.1
28.2,0.675,0.58,0.35,2.7,14.4,9,30.3,2.4,0.4,13.3,31,7.2,1.9,9.1,0.267,7.8,0,7.7,4
9.8,0.583,0.797,0.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,1.4,0,1.4,0.042,-0.5,-2.1,-2.6,-0.3
28.9,0.612,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,8.8,4.9,13.7,0.241,5.3,1.4,6.7,5.9
16.6,0.621,0,0.215,9,22,15.3,7.1,0.8,3.9,9.9,15.3,1.9,0.8,2.7,0.138,-0.9,-0.6,-1.5,0.1
15.5,0.607,0.003,0.38,13.7,28.8,21.3,3.9,1.1,2.9,16.2,12.1,2.5,2.5,5,0.164,-1.2,0.6,-0.6,0.5
15.8,0.599,0.296,0.18,7.2,28.1,17.7,9.2,1.3,2.8,14.3,17,1.8,1.9,3.7,0.114,-0.4,0.5,0.1,0.8
11.5,0.534,0.232,0.216,5.6,16,10.8,6.2,1.3,0.9,10.4,15.5,0.6,0.6,1.2,0.066,-2.3,-0.6,-2.9,-0.2
10.6,0.519,0.435,0.323,1,10,5.5,23.4,1.7,0.5,16.9,16.9,0.4,0.6,1,0.047,-2.2,-0.4,-2.6,-0.1
8.6,0.5,0.513,0.178,2.3,8.2,5.3,27.4,1,0,23,13.5,0.3,0.2,0.5,0.032,-2.4,-2,-4.4,-0.4
5.5,0.5,0,0,0,0,0,10.1,3.7,0,33.3,9.8,0,0,0,-0.018,-5.3,2.4,-2.9,0
21,0.555,0.203,0.396,2.5,10.4,6.5,25,1.5,0.6,9.5,29.6,6.8,2.8,9.6,0.17,3.3,-0.6,2.8,3.2
17,0.619,0,0.375,9.1,29.6,19.7,4.7,0.9,2.9,12,17.4,1.1,0.8,1.9,0.157,-1.3,0.1,-1.2,0.1
14.7,0.543,0.157,0.263,9.1,22.2,15.6,7.5,1.7,2.6,12,16.3,1.6,1.4,2.9,0.105,-0.9,-0.1,-1,0.3
15.9,0.527,0.517,0.32,1.8,10.2,6,35,1.4,0.7,11.8,20.3,4.3,1.4,5.7,0.118,1.3,-0.7,0.6,1.5
10,0.494,0.521,0.165,1.9,12.9,7.4,12.5,0.9,0.4,8.3,20,0,0.4,0.4,0.02,-1.4,-1.5,-2.9,-0.2
11.6,0.532,0.422,0.143,2.1,17.5,9.8,9.5,1.3,0.4,9,17.3,0.3,0.3,0.6,0.06,-1.6,-0.6,-2.3,0
5.2,0.337,0.489,0.17,2.5,12.9,7.6,11.7,2.3,1.2,3.8,18.2,-0.3,0.1,-0.1,-0.052,-6.6,-0.2,-6.8,-0.1
